snapshot_date,store_id,store_name,chip_label,region,city,assortment_sku_count,gap_sku_count,gap_rate,gap_ceiling,above_ceiling,phantom_sku_count,backroom_rescue_sku_count,floor_units,backroom_units,floor_share_units,open_exceptions
2026-09-14,101,warehouse_1,warehouse_1,Northeast,"Everett, MA",40,3,0.075,0.15,0,3,3,451.0,544.0,0.4533,3
2026-09-14,102,warehouse_2,warehouse_2,Northeast,"Dedham, MA",40,3,0.075,0.15,0,2,1,489.0,507.0,0.491,3
2026-09-14,103,warehouse_3,warehouse_3,Northeast,"Waltham, MA",40,4,0.1,0.15,0,3,2,460.0,494.0,0.4822,4
2026-09-15,101,warehouse_1,warehouse_1,Northeast,"Everett, MA",40,3,0.075,0.15,0,2,1,405.0,559.0,0.4201,3
2026-09-15,102,warehouse_2,warehouse_2,Northeast,"Dedham, MA",40,3,0.075,0.15,0,2,1,453.0,596.0,0.4318,3
2026-09-15,103,warehouse_3,warehouse_3,Northeast,"Waltham, MA",40,3,0.075,0.15,0,2,2,420.0,514.0,0.4497,3
2026-09-16,101,warehouse_1,warehouse_1,Northeast,"Everett, MA",40,10,0.25,0.15,1,9,9,376.0,549.0,0.4065,10
2026-09-16,102,warehouse_2,warehouse_2,Northeast,"Dedham, MA",40,3,0.075,0.15,0,3,2,480.0,678.0,0.4145,3
2026-09-16,103,warehouse_3,warehouse_3,Northeast,"Waltham, MA",40,2,0.05,0.15,0,2,2,422.0,565.0,0.4276,2
2026-09-17,101,warehouse_1,warehouse_1,Northeast,"Everett, MA",40,5,0.125,0.15,0,4,3,374.0,716.0,0.3431,5
2026-09-17,102,warehouse_2,warehouse_2,Northeast,"Dedham, MA",40,1,0.025,0.15,0,0,0,501.0,547.0,0.4781,1
2026-09-17,103,warehouse_3,warehouse_3,Northeast,"Waltham, MA",40,4,0.1,0.15,0,4,2,423.0,655.0,0.3924,4
2026-09-18,101,warehouse_1,warehouse_1,Northeast,"Everett, MA",40,3,0.075,0.15,0,2,1,419.0,555.0,0.4302,3
2026-09-18,102,warehouse_2,warehouse_2,Northeast,"Dedham, MA",40,3,0.075,0.15,0,2,1,523.0,626.0,0.4552,3
2026-09-18,103,warehouse_3,warehouse_3,Northeast,"Waltham, MA",40,5,0.125,0.15,0,4,3,399.0,557.0,0.4174,5
2026-09-19,101,warehouse_1,warehouse_1,Northeast,"Everett, MA",40,5,0.125,0.15,0,1,0,377.0,583.0,0.3927,5
2026-09-19,102,warehouse_2,warehouse_2,Northeast,"Dedham, MA",40,6,0.15,0.15,0,5,3,454.0,528.0,0.4623,6
2026-09-19,103,warehouse_3,warehouse_3,Northeast,"Waltham, MA",40,2,0.05,0.15,0,2,1,457.0,550.0,0.4538,2
2026-09-20,101,warehouse_1,warehouse_1,Northeast,"Everett, MA",40,2,0.05,0.15,0,1,1,496.0,702.0,0.414,2
2026-09-20,102,warehouse_2,warehouse_2,Northeast,"Dedham, MA",40,4,0.1,0.15,0,4,3,443.0,639.0,0.4094,4
2026-09-20,103,warehouse_3,warehouse_3,Northeast,"Waltham, MA",40,4,0.1,0.15,0,3,2,527.0,598.0,0.4684,4
2026-09-21,101,warehouse_1,warehouse_1,Northeast,"Everett, MA",40,6,0.15,0.15,0,5,3,387.0,514.0,0.4295,6
2026-09-21,102,warehouse_2,warehouse_2,Northeast,"Dedham, MA",40,2,0.05,0.15,0,2,2,461.0,490.0,0.4848,2
2026-09-21,103,warehouse_3,warehouse_3,Northeast,"Waltham, MA",40,2,0.05,0.15,0,2,0,522.0,609.0,0.4615,2
2026-09-22,101,warehouse_1,warehouse_1,Northeast,"Everett, MA",40,9,0.225,0.15,1,7,6,430.0,560.0,0.4343,9
2026-09-22,102,warehouse_2,warehouse_2,Northeast,"Dedham, MA",40,4,0.1,0.15,0,2,1,478.0,574.0,0.4544,4
2026-09-22,103,warehouse_3,warehouse_3,Northeast,"Waltham, MA",40,3,0.075,0.15,0,3,2,471.0,605.0,0.4377,3
